index,Date,Location,Operator,AC Type,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Passenger to Crew Ratio,Survival Rate,Company,Primary Cause,Specific Reason,Incident Outcome,Operator Type,Aircraft Size,Severity Score
11,1916-11-21,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),28.0,22.4,5.6,27.0,22.4,5.6,0.0,crashed in a storm.,4.0,3.57,Zeppelin,WEATHER,Severe Weather,Crashed,Military,Small,27.96
12,1916-11-28,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),20.0,16.0,4.0,20.0,16.0,4.0,0.0,shot down by british anti-aircraft fire and aircraft and crashed into the north sea.,4.0,0.0,Zeppelin,EXTERNAL,Shot Down,Crashed,Military,Small,21.0
13,1917-03-04,"Near Gent, Belgium",Military - German Army,Airship,20.0,16.0,4.0,20.0,16.0,4.0,0.0,caught fire and crashed.,4.0,0.0,Other,Unknown,Unknown,Crashed,Military,Small,21.0
14,1917-03-30,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23.0,18.4,4.6,23.0,18.4,4.6,0.0,struck by lightning and crashed into the baltic sea.,4.0,0.0,Schutte-Lanz,WEATHER,Lightning Strike,Crashed,Military,Small,24.0
15,1917-05-14,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),21.0,16.8,4.2,21.0,16.8,4.2,0.0,"crashed into the sea from an altitude of 3,000 ft. after being hit by british aircraft fire.",4.0,0.0,Zeppelin,Unknown,Unknown,Crashed,Military,Small,22.0
16,1917-06-14,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),24.0,19.2,4.8,24.0,19.2,4.8,0.0,shot down by british aircraft.,4.0,0.0,Zeppelin,EXTERNAL,Shot Down,Shot Down By Enemy,Military,Small,25.0
18,1917-08-21,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),18.0,14.4,3.6,18.0,14.4,3.6,0.0,shot down by british aircraft.,4.0,0.0,Zeppelin,EXTERNAL,Shot Down,Shot Down By Enemy,Military,Small,19.0
19,1917-10-20,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),18.0,14.4,3.6,18.0,14.4,3.6,0.0,shot down by french anti-aircraft fire.,4.0,0.0,Zeppelin,EXTERNAL,Shot Down,Shot Down By Enemy,Military,Small,19.0
20,1918-04-07,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),23.0,18.4,4.6,23.0,18.4,4.6,0.0,exploded and crashed into the sea off the southern coast of italy.,4.0,0.0,Zeppelin,Unknown,Unknown,Crashed,Military,Small,24.0
21,1918-05-10,"Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),22.0,17.6,4.4,22.0,17.6,4.4,0.0,"shot down by british aircraft crashing from a height of 17,000 ft.",4.0,0.0,Zeppelin,EXTERNAL,Shot Down,Crashed,Military,Small,23.0
22,1918-08-11,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),19.0,15.2,3.8,19.0,15.2,3.8,0.0,shot down by british aircraft.,4.0,0.0,Zeppelin,EXTERNAL,Shot Down,Shot Down By Enemy,Military,Small,20.0
23,1918-12-16,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,carl smith was killed when his mail plane feet 500 feet while attempting to land. he tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,0.0,0.0,de Havilland Canada,WEATHER,Severe Wind Conditions,Disappearance,Cargo,Small,2.0
24,1919-05-25,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,caught fire in midair. the pilot leaped from the plane to his death as the plane began to go into a dive.,0.0,0.0,de Havilland Canada,Unknown,Unknown,In-Flight Breakup,Cargo,Small,2.0
25,1919-07-19,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,the mail plane crashed under unknown circumstances.,0.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
27,1919-08-02,"Verona, Italy",Caproni Company,Caproni Ca.48,14.0,12.0,2.0,14.0,12.0,2.0,0.0,as the plane was passing over verona the wings began to flutter and then collapsed and crashed. sources differ as to the number of deaths with some reporting 15 or 17.,6.0,0.0,Other,Unknown,Unknown,Crashed,Commercial,Small,15.0
29,1919-10-14,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"the pilot was performing a mail flight to baltimore. while on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",0.0,0.0,Curtiss,WEATHER,Poor Visibility (Fog),Crashed,Cargo,Small,2.0
31,1919-10-30,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"while on a mail flight to new york the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. eventually, he decided to make an emergency landing in long valley, west of newark. aircraft hit the ground and crashed.",0.0,0.0,de Havilland Canada,OPERATIONAL,Ground Operations,Crashed,Cargo,Small,2.0
32,1919-12-11,"Catherham, Surrey, UK",Aircraft Travel Transport,de Havilland DH-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,crashed in a field while attemptting to land.,1.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
33,1920-03-10,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"while on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",0.0,0.0,de Havilland Canada,WEATHER,Poor Visibility (Fog),Crashed,Cargo,Small,2.0
34,1920-03-30,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,george sherlock was killed when his mail plane crashed into a chimney while attempting to land at heller field in poor visibility.,0.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
35,1920-04-10,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,2.0,1.0,1.0,1.0,0.0,1.0,0.0,after a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,1.0,50.0,Curtiss,OPERATIONAL,Landing Related,Crashed,Cargo,Small,1.5
36,1920-04-11,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,2.0,1.0,1.0,1.0,0.0,1.0,0.0,the aircraft crashed while on approach for unknown reasons.,1.0,50.0,Curtiss,Unknown,Unknown,Crashed,Cargo,Small,1.5
37,1920-05-12,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,"in worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",1.0,50.0,de Havilland Canada,WEATHER,Adverse Weather,Crashed,Cargo,Small,1.5
38,1920-06-06,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,the aircraft suffered engine failure and crashed shortly after taking off.,0.0,0.0,de Havilland Canada,TECHNICAL,Engine Failure,Crashed,Cargo,Small,2.0
39,1920-07-20,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Farman F-40,1.0,1.0,1.0,1.0,1.0,1.0,0.0,crashed while taking off after engine failure. engine failure due to fuel exhaustion.,1.0,0.0,Farman,TECHNICAL,Engine Failure,Crashed,Commercial,Small,2.0
40,1920-08-16,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,1.0,0.0,1.0,1.0,0.0,1.0,0.0,the plane crashed during a cargo flight under unknown circumstances.,0.0,0.0,Armstrong Whitworth,OPERATIONAL,Cargo Related,Crashed,Commercial,Small,2.0
41,1920-08-16,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"while approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",0.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
42,1920-09-01,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"while en route, the mail plane went out of control and crashed after experiencing an in flight fire.",0.0,0.0,Junkers,Unknown,Unknown,Crashed,Cargo,Small,3.0
43,1920-09-15,"Pemberville, Ohio",US Aerial Mail Service,Junkers F-13,2.0,1.6,0.4,2.0,1.6,0.4,0.0,the pilot crashed after attempting to make an emergency landing after the engine caught fire.,4.0,0.0,Junkers,TECHNICAL,Engine Failure,Crashed,Cargo,Small,3.0
44,1920-09-27,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,the plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,0.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
45,1920-10-02,"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,2.0,1.0,1.0,2.0,1.0,1.0,0.0,crashed into the mediterranean while on a mail flight.,1.0,0.0,Other,Unknown,Unknown,Crashed,Commercial,Small,3.0
46,1920-10-05,"Valencia, Spain",Latecoere Airlines,Breguet 14,2.0,1.0,1.0,2.0,1.0,1.0,0.0,while on a mail flight the plane crashed while attempting to land.,1.0,0.0,Breguet,Unknown,Unknown,Crashed,Commercial,Small,3.0
47,1920-10-15,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,while attempting to land in fog the aircraft hit an obstruction and crashed.,0.0,0.0,de Havilland Canada,WEATHER,Poor Visibility (Fog),Crashed,Cargo,Small,2.0
48,1920-11-07,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,the aircraft crashed into a mountain in poor weather condtions.,0.0,0.0,de Havilland Canada,WEATHER,Adverse Weather,Crashed,Cargo,Small,2.0
49,1920-12-14,"London, England",Handley Page Transport,Handley Page HP-16,8.0,6.0,2.0,4.0,2.0,2.0,0.0,the plane failed to gain altitude after taking off from criclklewood and crashed into a tree and a house. pilot error in taking off towards a hill in unfavorable wind conditions and fog.the first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,3.0,50.0,Handley Page,WEATHER,Poor Visibility (Fog),Crashed,Cargo,Small,4.5
50,1920-12-24,"Barcelona, Spain",Aeropostale,Breguet 14,1.0,0.0,1.0,1.0,0.0,1.0,0.0,the aircraft stalled and crashed when an engine failed.,0.0,0.0,Breguet,TECHNICAL,Engine Failure,Crashed,Commercial,Small,2.0
51,1921-02-03,"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,shortly after takeoff from minneapolis-world chamberlain field the engine failed. the aircraft lost altitude and crashed  in a field.,0.0,0.0,de Havilland Canada,TECHNICAL,Engine Failure,Crashed,Cargo,Small,2.0
52,1921-02-09,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3.0,0.0,3.0,3.0,0.0,3.0,0.0,crashed for unknown reasons. both pilots and the mechanic were killed.,0.0,0.0,Junkers,Unknown,Unknown,Crashed,Cargo,Small,4.0
53,1921-02-15,Off Gibraltar,Aeropostale,Breguet 14,2.0,0.0,2.0,2.0,0.0,2.0,0.0,the mail fligh encountered poor weather conditions and crashed into the ocean while on approach to gibraltar. the bodies of the crew were never recovered.,0.0,0.0,Breguet,WEATHER,Adverse Weather,Crashed,Commercial,Small,3.0
54,1921-02-22,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"shortly after taking off, the aircraft stalled and crashed .",0.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
55,1921-04-06,"Point Cook, Australia",Military - Royal Australian Air Force,  	 Avro 504,2.0,0.0,0.0,2.0,0.0,0.0,0.0,"shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",,0.0,Avro,HUMAN_FACTOR,Training Related,Explosion,Military,Small,3.0
56,1921-04-21,"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,after taking off the aircraft stalled and crashed.,0.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
57,1921-04-29,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"the aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in cleveland. the weather was poor with fog.",0.0,0.0,de Havilland Canada,WEATHER,Poor Visibility (Fog),Crashed,Cargo,Small,2.0
58,1921-05-17,"Rock Springs, Wyoming",US Aerial Mail Service,De Havilland DH-4 De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,crashed while attempting to land.,0.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
60,1921-08-24,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),46.0,0.0,46.0,46.0,0.0,46.0,1.0,crashed due to structural failure followed by two explosions and a fire. attributed to faulty design.,0.0,0.0,Other,TECHNICAL,Structural Failure,Crashed,Military,Small,47.5
61,1921-09-06,"Paris, France",Franco-Roumaine,Potez IX,5.0,4.0,1.0,5.0,4.0,1.0,0.0,crashed while making an approach to le bourget airport in paris. pilot aborted the landing due to another aircraft on the runway.,4.0,0.0,Other,OPERATIONAL,Runway Related,Crashed,Commercial,Small,6.0
62,1921-12-05,"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,2.0,0.0,2.0,2.0,0.0,2.0,0.0,on approach to geraldton the plane crashed near the murchinson river. considered the first commercial flight in australila.,0.0,0.0,Bristol Aeroplane Company,Unknown,Unknown,Crashed,Commercial,Small,3.0
63,1922-01-14,"Paris, France",Handley Page Transport,Handley Page O/10,5.0,4.0,1.0,5.0,4.0,1.0,5.0,crashed at le bourget field.,4.0,0.0,Handley Page,Unknown,Unknown,Crashed,Cargo,Small,8.5
64,1922-02-21,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Dirigible Roma (airship),45.0,36.0,9.0,34.0,34.0,9.0,0.0,crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,4.0,24.44,Other,Unknown,Unknown,Crashed,Military,Small,34.76
65,1922-03-22,North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),6.0,5.0,1.0,5.0,5.0,0.0,0.0,"the plane ditched into the ocean about 40 miles east of florida after a propeller blade broke. only the pilot survived, being picked up over 2 days later. the flying boat was named miss miami.",5.0,16.67,Other,Unknown,Unknown,Water Landing,Commercial,Small,5.83
66,1922-04-07,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"a midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of beauvais, france. the pilots of both planes were using the road as a route marker in bad weather and poor visibility. this was the  first commercial midair collision in aviation history. two killed on the de havilland, five on the faman f-60.",2.5,0.0,de Havilland Canada,WEATHER,Adverse Weather,Collision,Commercial,Small,8.0
68,1922-06-03,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,3.0,2.0,1.0,3.0,2.0,1.0,0.0,went down into the english channel while en route.,2.0,0.0,Other,Unknown,Unknown,Unknown,Commercial,Small,4.0
70,1922-07-16,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,5.0,4.0,1.0,5.0,4.0,1.0,0.0,lost an engine and could not make an emergency landing because of gusty winds. stalled while making a turn and crashed.,4.0,0.0,Other,TECHNICAL,Engine Failure,Crashed,Commercial,Small,6.0
71,1922-07-26,"Cadix, Spain",Grands Express Aeriens,Breguet 14,3.0,2.0,1.0,3.0,2.0,1.0,0.0,"while attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",2.0,0.0,Breguet,TECHNICAL,Engine Failure,Crashed,Commercial,Small,4.0
72,1922-09-07,"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,the plane stalled shortly after takeoff and crashed.,0.0,0.0,de Havilland Canada,OPERATIONAL,Takeoff Related,Crashed,Cargo,Small,2.0
73,1922-10-02,"Venice, Italy",de Havilland Air Service,de Havilland DH-9,4.0,3.0,1.0,4.0,3.0,1.0,0.0,shortly after taking off the plane crashed into the sea and sank.,3.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Commercial,Small,5.0
74,1922-10-25,"Larache, Morocco",Grands Express Aeriens,Breguet 14,2.0,1.0,1.0,2.0,1.0,1.0,0.0,crashed under unknown circumstances.,1.0,0.0,Breguet,Unknown,Unknown,Crashed,Commercial,Small,3.0
75,1922-12-03,"Fez, Morocco",Grands Express Aeriens,Breguet 14,1.0,0.0,1.0,1.0,0.0,1.0,0.0,while flying in foggy conditions the pilot reduced altitude and crashed into a hill.,0.0,0.0,Breguet,Unknown,Unknown,Crashed,Commercial,Small,2.0
76,1923-01-10,"Ajaccio, France",Amee de l'Air,Lioré-et-Olivier H-13,4.0,2.0,2.0,3.0,1.0,2.0,0.0,the plane crashed mid-air due to a structural failure of the tail.,1.0,25.0,Other,TECHNICAL,Structural Failure,Crashed,Commercial,Small,3.75
77,1923-01-17,"Barcelona, Spain",Grands Express Aeriens,Breguet 14,1.0,0.0,1.0,1.0,0.0,1.0,0.0,crashed into a mountain during a snowstorm.,0.0,0.0,Breguet,Unknown,Unknown,Crashed,Commercial,Small,2.0
78,1923-01-18,"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,crashed during a mail flight.,0.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
79,1923-02-26,"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,the pilot lost control of the aircraft  while on approach in poor weather conditions.,0.0,0.0,de Havilland Canada,WEATHER,Adverse Weather,Disappearance,Cargo,Small,2.0
80,1923-05-14,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,6.0,4.0,2.0,6.0,4.0,2.0,0.0,"broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. possibly started by a passenger discarding a match after lighting a cigarette.",2.0,0.0,Farman,TECHNICAL,Structural Failure,In-Flight Breakup,Commercial,Small,7.0
81,1923-08-27,"East Mallling, United Kingdom",Air Union,Farman F.60 Goliath,11.0,9.0,2.0,1.0,1.0,0.0,0.0,"the aircraft lost an engine about 45 minutes into the flight. as the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. he asked the mechanic to ask two passengers to move towards the rear of the aircraft. this instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. this affected the center of gravity of the aircraft, which then entered into a spin and crashed.",4.5,90.91,Farman,TECHNICAL,Engine Failure,Crashed,Commercial,Small,1.09
82,1923-08-27,"Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,2.0,1.0,1.0,2.0,1.0,1.0,0.0,crashed while on approach to bucharesst.,1.0,0.0,Other,Unknown,Unknown,Crashed,Commercial,Small,3.0
83,1923-09-07,"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,crashed during an emergency landing attempt.,0.0,0.0,de Havilland Canada,OPERATIONAL,Landing Related,Crashed,Cargo,Small,2.0
84,1923-09-14,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,5.0,3.0,2.0,5.0,3.0,2.0,0.0,crashed while attempting a forced landing after encountering heavy rain.,1.5,0.0,de Havilland Canada,OPERATIONAL,Landing Related,Crashed,Commercial,Small,6.0
85,1923-11-18,Russia,CCCP,Junkers F-13,5.0,2.0,3.0,3.0,1.0,2.0,0.0,crashed during a training flight.,0.67,40.0,Junkers,HUMAN_FACTOR,Training Related,Crashed,Commercial,Small,3.6
86,1923-12-06,"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,crashed under unknown circumstances.,0.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
87,1923-12-23,Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship),52.0,41.6,10.4,52.0,41.6,10.4,0.0,"crashed while on a flight from toulon, france to algiers, algeria.  the last known radio contact reported the ship nearly out of fuel and battling strong winds.  struck by lightning.",4.0,0.0,Zeppelin,TECHNICAL,Fuel System Issue,Crashed,Military,Medium,53.0
88,1923-12-24,"Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,crashed into a montain in poor weather conditions.,0.0,0.0,de Havilland Canada,WEATHER,Adverse Weather,Crashed,Cargo,Small,2.0
89,1924-03-07,"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,crashed during a snowstorm.,0.0,0.0,de Havilland Canada,Unknown,Unknown,Crashed,Cargo,Small,2.0
90,1924-04-24,Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3.0,2.0,1.0,3.0,2.0,1.0,0.0,the aircraft disappeared over the north sea. the plane and passengers were never found.,2.0,0.0,Fokker,Unknown,Unknown,Disappearance,Commercial,Small,4.0
91,1924-06-08,"Barranquilla, Colombia",SCADTA,Junkers F-13,5.0,3.0,2.0,5.0,3.0,2.0,0.0,stalled after taking off and crashed into houses..,1.5,0.0,Junkers,Unknown,Unknown,Crashed,Commercial,Small,6.0
92,1924-08-01,United States,US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"the pliot made a low pass in honor of another pilot who had died, stalled and cashed.",0.0,0.0,de Havilland Canada,Unknown,Unknown,Unknown,Cargo,Small,2.0
93,1924-11-06,"Cabrerolles, France",Grands Express Aeriens,Breguet 14,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"while en route the pilot encountered thunderstorms, lost control and crashed.",0.0,0.0,Breguet,Unknown,Unknown,Crashed,Commercial,Small,2.0
94,1924-12-21,"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"lost in a snowstorm, the pilot decided to bail out of the plane but was killed.",0.0,0.0,de Havilland Canada,Unknown,Unknown,Disappearance,Cargo,Small,2.0
95,1924-12-24,"Purley, England",Imperial Airways,de Havilland DH-34B,8.0,7.0,1.0,8.0,7.0,1.0,0.0,"shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. crashed due to an unknown mechanical failure and subsiquent stall. captain stewart and seven passengers were killed in an attempted forced landing.",7.0,0.0,de Havilland Canada,TECHNICAL,Mechanical Failure,Crashed,Commercial,Small,9.0
96,1925-03-22,"Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,5.0,3.0,2.0,5.0,3.0,2.0,0.0,shortly after take off the plane went out of control and crashed in flames.,1.5,0.0,Junkers,Unknown,Unknown,Crashed,Commercial,Small,6.0
97,1925-04-25,"Alicante, Spain",Grands Express Aeriens,Breguet 14,3.0,1.0,2.0,3.0,1.0,2.0,0.0,"shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.",0.5,0.0,Breguet,WEATHER,Lightning Strike,Crashed,Commercial,Small,4.0
98,1925-06-25,"Landrécies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4.0,3.0,1.0,4.0,3.0,1.0,0.0,"while in a turn in bad weather, the right wing struck trees and the plane crashed. failure of an aileron in flight.",3.0,0.0,Fokker,WEATHER,Adverse Weather,Crashed,Commercial,Small,5.0
99,1925-06-26,"Alicante, Spain",Grands Express Aeriens,Lioré-et-Olivier LeO H-13,2.0,0.0,2.0,2.0,0.0,2.0,0.0,while attempting to land the seaplane hit a lightning mast and crashed.,0.0,0.0,Other,WEATHER,Lightning Strike,Crashed,Commercial,Small,3.0
